parcel_label	weights
Visual1-04_L-Ctx	0.4509711264014438
Visual2-28_L-Ctx	0.2742134868977232
Visual2-29_L-Ctx	0.08993639965719927
Visual2-30_L-Ctx	0.5767456333634775
Visual2-31_L-Ctx	0.5576218317391559
Visual2-32_L-Ctx	0.3554738969725808
Visual2-33_L-Ctx	0.3026628100203865
Somatomotor-21_L-Ctx	-0.3114894086449915
Somatomotor-22_L-Ctx	0.2301230686594631
Cingulo-Opercular-30_L-Ctx	-0.5122657246367798
Dorsal-Attention-12_L-Ctx	-0.17209994168650655
Language-10_L-Ctx	-0.5654204996225131
Visual2-34_L-Ctx	-0.05843281265862145
Frontoparietal-29_L-Ctx	0.2762142611810599
Frontoparietal-30_L-Ctx	-0.12168742181205638
Visual2-35_L-Ctx	-0.019095679464528496
Visual2-36_L-Ctx	-0.17128012734806328
Visual2-37_L-Ctx	0.06552246539281992
Visual2-38_L-Ctx	0.12018323664587681
Visual2-39_L-Ctx	0.10435541643069812
Visual2-40_L-Ctx	0.1801491875640123
Visual2-41_L-Ctx	0.25423201438698406
Visual2-42_L-Ctx	0.12442267790310706
Auditory-08_L-Ctx	0.3963223202982499
Language-11_L-Ctx	0.07186737638284192
Language-12_L-Ctx	-0.6062119493866132
Posterior-Multimodal-05_L-Ctx	-0.20851668187296402
Language-13_L-Ctx	-0.20729189112646995
Frontoparietal-31_L-Ctx	-0.34132213332881184
Default-38_L-Ctx	-0.03883889810813475
Default-39_L-Ctx	0.36028209687995266
Default-40_L-Ctx	0.30349876082083893
Default-41_L-Ctx	0.30629516804655976
Default-42_L-Ctx	0.16630005251367508
Default-43_L-Ctx	-0.12590746789585455
Somatomotor-23_L-Ctx	-0.04366516290011713
Cingulo-Opercular-31_L-Ctx	-0.33136624572278434
Cingulo-Opercular-32_L-Ctx	-0.08316784633000493
Somatomotor-24_L-Ctx	-0.23367326146003933
Somatomotor-25_L-Ctx	-0.38470238904311665
Somatomotor-26_L-Ctx	-0.3277988060229252
Somatomotor-27_L-Ctx	-0.38840837506815007
Cingulo-Opercular-33_L-Ctx	-0.5942273451434401
Cingulo-Opercular-34_L-Ctx	-0.6514670805043239
Cingulo-Opercular-35_L-Ctx	-0.4782741410852348
Dorsal-Attention-13_L-Ctx	-0.43456444294407554
Somatomotor-28_L-Ctx	-0.31268615604035055
Visual2-43_L-Ctx	-0.28213849482317677
Visual2-44_L-Ctx	-0.4166252179829658
Dorsal-Attention-14_L-Ctx	-0.318282682033996
Somatomotor-29_L-Ctx	-0.0548056200529702
Somatomotor-30_L-Ctx	-0.16612885743666442
Somatomotor-31_L-Ctx	0.19998294448013693
Somatomotor-32_L-Ctx	-0.6783837946171091
Somatomotor-33_L-Ctx	-0.4972405337342696
Somatomotor-34_L-Ctx	-0.36498601878161685
Cingulo-Opercular-36_L-Ctx	-0.0007252667308119836
Cingulo-Opercular-37_L-Ctx	0.1765468939720606
Cingulo-Opercular-38_L-Ctx	-0.04263631726178384
Cingulo-Opercular-39_L-Ctx	-0.33879186905933184
Default-44_L-Ctx	-0.019601391957934762
Default-45_L-Ctx	-0.4839935163843793
Frontoparietal-32_L-Ctx	-0.6645168048861576
Default-46_L-Ctx	-0.3190041366280811
Default-47_L-Ctx	-0.1484159400953927
Default-48_L-Ctx	-0.04329013595766215
Default-49_L-Ctx	-0.7933206404116859
Default-50_L-Ctx	-0.8313859383443426
Default-51_L-Ctx	-0.7545738631010244
Default-52_L-Ctx	-0.7521581410418505
Default-53_L-Ctx	-0.8947113854227656
Default-54_L-Ctx	-0.8595304116801947
Frontoparietal-33_L-Ctx	-0.6850394194304537
Language-14_L-Ctx	-0.45976621951290986
Language-15_L-Ctx	-0.23475826676411402
Default-55_L-Ctx	-0.10868923377840047
Frontoparietal-34_L-Ctx	-0.3334326386089891
Cingulo-Opercular-40_L-Ctx	-0.3736801642937131
Language-16_L-Ctx	-0.2967571145371607
Frontoparietal-35_L-Ctx	-0.23749106868761927
Language-17_L-Ctx	-0.36630719350184915
Frontoparietal-36_L-Ctx	-0.3299893071620233
Frontoparietal-37_L-Ctx	-0.802844136502751
Cingulo-Opercular-41_L-Ctx	-0.834095717886392
Frontoparietal-38_L-Ctx	-0.6542318407023684
Cingulo-Opercular-42_L-Ctx	-0.7941336547761543
Default-56_L-Ctx	-0.958371788554014
Default-57_L-Ctx	-0.03165426330089703
Frontoparietal-39_L-Ctx	-0.32222076948819217
Default-58_L-Ctx	-0.20751665511102327
Frontoparietal-40_L-Ctx	0.012999288331341534
Frontoparietal-41_L-Ctx	0.22479679465296593
Default-59_L-Ctx	0.3733454416893302
Default-60_L-Ctx	0.32807830866976484
Dorsal-Attention-15_L-Ctx	-0.22053030842311652
Dorsal-Attention-16_L-Ctx	-0.6883355820504151
Frontoparietal-42_L-Ctx	-0.7154126002350398
Frontoparietal-43_L-Ctx	-0.6883090092336552
Cingulo-Opercular-43_L-Ctx	-0.0482347255597244
Somatomotor-35_L-Ctx	0.16023730343876047
Somatomotor-36_L-Ctx	0.04828115851763125
Somatomotor-37_L-Ctx	0.16083914811549982
Auditory-09_L-Ctx	0.12090959637958361
Auditory-10_L-Ctx	0.34701424965763134
Cingulo-Opercular-44_L-Ctx	0.048377778090129185
Cingulo-Opercular-45_L-Ctx	0.07875538052249517
Auditory-11_L-Ctx	0.0363150964975768
Cingulo-Opercular-46_L-Ctx	-0.10415419962167594
Cingulo-Opercular-47_L-Ctx	0.12476701558161235
Orbito-Affective-04_L-Ctx	0.17182608923614684
Frontoparietal-44_L-Ctx	0.04766728573217156
Orbito-Affective-05_L-Ctx	0.3674694091583887
Cingulo-Opercular-48_L-Ctx	0.03315119233292133
Cingulo-Opercular-49_L-Ctx	0.14186312700272422
Somatomotor-38_L-Ctx	0.004772778458393865
Dorsal-Attention-17_L-Ctx	-0.07578876132002271
Dorsal-Attention-18_L-Ctx	-0.2748622461450227
Default-61_L-Ctx	0.466186545310984
Default-62_L-Ctx	0.46791973112093377
Default-63_L-Ctx	0.34795999403619704
Visual1-05_L-Ctx	0.4394985221885151
Ventral-Multimodal-03_L-Ctx	0.2636153771941941
Language-18_L-Ctx	-0.08716792216152751
Auditory-12_L-Ctx	0.24464823650044182
Language-19_L-Ctx	0.006193782421308714
Default-64_L-Ctx	0.5640597981396067
Dorsal-Attention-19_L-Ctx	0.5124468256238723
Language-20_L-Ctx	-0.08396134056499807
Language-21_L-Ctx	0.15757188763394597
Default-65_L-Ctx	0.16634334042064133
Default-66_L-Ctx	0.08869232497958986
Default-67_L-Ctx	-0.02380441901526768
Frontoparietal-45_L-Ctx	-0.16316109088147587
Default-68_L-Ctx	0.035655362426212596
Ventral-Multimodal-04_L-Ctx	0.041548982031850375
Dorsal-Attention-20_L-Ctx	0.03267528905260834
Dorsal-Attention-21_L-Ctx	-0.025138701093013336
Visual2-45_L-Ctx	0.12593238685863087
Language-22_L-Ctx	0.12194448698855441
Posterior-Multimodal-06_L-Ctx	-0.04770430942522812
Posterior-Multimodal-07_L-Ctx	0.08645047214011932
Visual1-06_L-Ctx	-0.006253614283449009
Dorsal-Attention-22_L-Ctx	-0.1594083961096871
Frontoparietal-46_L-Ctx	-0.2810170939606333
Frontoparietal-47_L-Ctx	-0.28918546992697847
Dorsal-Attention-23_L-Ctx	-0.01128192961803113
Cingulo-Opercular-50_L-Ctx	0.017639494112448244
Cingulo-Opercular-51_L-Ctx	-0.15185787275949886
Frontoparietal-48_L-Ctx	-0.3530600254036493
Default-69_L-Ctx	-0.16548309830127314
Default-70_L-Ctx	-0.20824571154352217
Visual2-46_L-Ctx	-0.06782975816466592
Visual2-47_L-Ctx	0.5190003654689539
Visual2-48_L-Ctx	0.2517083202600361
Default-71_L-Ctx	0.4268322630633647
Visual2-49_L-Ctx	0.14259441431528308
Visual2-50_L-Ctx	0.045024923900861165
Visual2-51_L-Ctx	0.08017061696051327
Visual2-52_L-Ctx	-0.024039562942263636
Visual2-53_L-Ctx	0.4410489106229114
Default-72_L-Ctx	-0.008009393945628199
Default-73_L-Ctx	-0.043258665462718345
Visual2-54_L-Ctx	0.5655519307225055
Default-74_L-Ctx	0.09590491772665903
Default-75_L-Ctx	-0.0743869417680849
Orbito-Affective-06_L-Ctx	0.25690453822164144
Cingulo-Opercular-52_L-Ctx	0.13584185902048737
Somatomotor-39_L-Ctx	0.38449829916707423
Cingulo-Opercular-53_L-Ctx	-0.15606698354203963
Frontoparietal-49_L-Ctx	-0.6540584322319155
Frontoparietal-50_L-Ctx	-0.19248829825269737
Language-23_L-Ctx	0.21758926171993845
Auditory-13_L-Ctx	0.2857349221066367
Auditory-14_L-Ctx	0.15825804249792588
Auditory-15_L-Ctx	0.24145367693847805
Default-76_L-Ctx	0.0777479713009651
Default-77_L-Ctx	-0.15092105188270424
Cingulo-Opercular-54_L-Ctx	0.07499696658309665
Cingulo-Opercular-55_L-Ctx	-0.4872560323794437
Cingulo-Opercular-56_L-Ctx	0.018393024369903394
Visual1-01_R-Ctx	0.4393974823894416
Visual2-01_R-Ctx	-0.011984371978120592
Visual2-02_R-Ctx	0.03293428731550305
Visual2-03_R-Ctx	0.5168181157899806
Visual2-04_R-Ctx	0.43075897088009263
Visual2-05_R-Ctx	0.2786193346906444
Visual2-06_R-Ctx	0.2893327756141171
Somatomotor-01_R-Ctx	-0.25110702648801486
Somatomotor-02_R-Ctx	0.21324530591449423
